"Student_ID","First_Name","Last_Name","Age","Gender","Course","Enrollment_Date","Total_Payments"
101,"John","Smith",22,"M","Data Science","2022-05-15",1200
102,"Emily","Johnson",24,"F","Machine Learning","2022-03-18",1400
103,"Michael","Williams",21,"M","Data Science","2022-06-25",900
104,"Sarah","Brown",23,"F","Data Science","2022-03-18",1100
105,"David","Davis",20,"M","Web Development","2021-09-10",950
106,"Jessica","Miller",25,"F","Machine Learning","2022-04-22",1300
107,"Brian","Wilson",19,"M","Data Science","2022-07-02",1000
108,"Amanda","Taylor",22,"F","Machine Learning","2022-08-15",1200
109,"William","Anderson",24,"M","Data Science","2022-01-10",950
110,"Olivia","Martinez",26,"F","Data Science","2023-02-28",1150
111,"Williams","Smith",22,"M","Data Science","2022-05-15",1200
112,"Emily","Emodi",24,"F","Machine Learning","2022-03-18",1400
113,"Esther","Adams",21,"M","Data Science","2022-06-25",900
114,"Sarah","Brown",23,"F","Data Science","2022-03-18",1100
115,"David","Davis",20,"M","Web Development","2021-09-10",950
501,"Davis","Brown",22,"M","Data Analysis","2022-03-18",20000
502,"Anita","West",22,"F","Data Science","2022-03-18",30000
503,"Olawale Akintola","Davis",22,"M","Web Development","2022-03-18",30000
504,"Wike","Akintola",22,"M","Data Science","2022-03-18",36000
505,"Emily","Leke",22,"M","Data Science","2022-03-18",40000
506,"Ayodele","Davis",22,"M","Machine Learning","2022-03-18",37440
507,"Emily","Davis",22,"M","Data Science","2022-03-18",37488
508,"Emily","Davis",22,"M","Data Science","2022-03-18",37497.6
509,"Emily","Davis",22,"M","Data Science","2022-03-18",1400
101,"Ethan","Miller",22,"M","Data Science","2022-05-15",1200
102,"Olivia","Johnson",24,"F","Machine Learning","2022-03-18",1400
103,"Noah","Williams",21,"M","Data Science","2022-06-25",900
104,"Emma","Brown",23,"F","Data Science","2022-03-18",1100
105,"Liam","Davis",20,"M","Web Development","2021-09-10",950
106,"Ava","Miller",25,"F","Machine Learning","2022-04-22",1300
107,"William","Wilson",19,"M","Data Science","2022-07-02",1000
108,"Sophia","Taylor",22,"F","Machine Learning","2022-08-15",1200
109,"James","Anderson",24,"M","Data Science","2022-01-10",950
110,"Isabella","Martinez",26,"F","Data Science","2023-02-28",1150
500,"Jackson","Murphy",21,"M","Web Development","2023-06-05",1050
